Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),Amazon EC2,0,418.85,5026.2,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Data Transfer, Data transfer cost (8.91), Advance EC2 instance (m4.large), Pricing strategy (On-Demand)"
My Estimate,US East (Ohio),Amazon EC2,0,418.85,5026.2,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Data Transfer, Advance EC2 instance (m4.large), Data transfer cost (8.91), Pricing strategy (On-Demand)"
My Estimate,US East (Ohio),Amazon EC2,0,280.15,3361.8,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Data Transfer, Advance EC2 instance (m4.large), Data transfer cost (8.91), Pricing strategy (All Reserved 1 Year  None upfront)"
My Estimate,US East (Ohio),Amazon EC2,0,280.15,3361.8,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Data Transfer, Advance EC2 instance (m4.large), Data transfer cost (8.91), Pricing strategy (All Reserved 1 Year  None upfront)"
My Estimate,US East (Ohio),Elastic Load Balancing,0,344.11,4129.32,USD,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),Elastic Load Balancing,0,344.11,4129.32,USD,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),Amazon Elastic IP,0,3.65,43.8,USD,"Number of EIPs per instance (2), Number of EC2 instances (1)"
My Estimate,US East (Ohio),S3 Standard,0,2574,30888,USD,S3 Standard storage (100 TB per month)
My Estimate,US East (Ohio),S3 Standard - Infrequent Access,0,256.11,3073.32,USD,S3 Infrequent Access storage (20 TB per month)
My Estimate,US East (Ohio),Data Transfer,0,3097.51,37170.12,USD,"Data Transfer, Data transfer cost (3097.51)"
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,1288.452,15461.42,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (40 GB), Instance type (db.m5.4xlarge)"
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
